timestamp,analysis_num,model,inference_ms,scene_change_pct,sharpness,tokens,frame_count,description_length,cpu_pct,mem_used_mb,prompt
2026-03-04T01:20:19.475337,1,llava:latest,31764,0.1,54.9,85,412,367,32.9,11323.4,"What is in this image? Describe the scene accurately."
2026-03-04T01:21:01.354780,2,llava:latest,41378,0.6,20.4,111,782,493,59.4,11256.5,"What is in this image? Describe the scene accurately."
2026-03-04T01:21:52.922753,3,llava:latest,51066,3.3,16.0,106,1173,503,65.8,11173.7,"What is in this image? Describe the scene accurately."
2026-03-04T01:22:34.383862,4,llava:latest,40960,0.1,36.3,86,1484,383,67.1,11203.4,"What is in this image? Describe the scene accurately."
2026-03-04T01:23:30.460507,5,llava:latest,55575,1.4,17.3,130,1904,615,69.1,11283.7,"What is in this image? Describe the scene accurately."
2026-03-04T01:24:25.953831,6,llava:latest,54992,8.6,16.1,135,2320,652,72.3,11248.6,"What is in this image? Describe the scene accurately."
2026-03-04T01:25:19.610208,7,llava:latest,53155,0.1,32.6,139,2721,624,71.2,11298.7,"What is in this image? Describe the scene accurately."
2026-03-04T01:26:12.650670,8,llava:latest,52539,0.2,32.7,129,3119,573,67.0,11225.7,"What is in this image? Describe the scene accurately."
2026-03-04T01:27:02.869187,9,llava:latest,49717,0.1,30.7,115,3495,514,67.2,11225.9,"What is in this image? Describe the scene accurately."
2026-03-04T01:27:48.865490,10,llava:latest,45495,0.0,34.9,106,3839,479,64.5,11293.5,"What is in this image? Describe the scene accurately."
2026-03-04T01:28:35.041733,11,llava:latest,45674,0.0,36.9,110,4185,498,66.9,11329.0,"What is in this image? Describe the scene accurately."
2026-03-04T01:29:20.477239,12,llava:latest,44934,0.2,33.8,104,4526,459,71.4,11470.6,"What is in this image? Describe the scene accurately."
2026-03-04T01:30:08.900198,13,llava:latest,47922,0.1,40.4,126,4888,591,69.7,11417.7,"What is in this image? Describe the scene accurately."
2026-03-04T01:30:56.976620,14,llava:latest,47575,0.0,11.1,116,5248,533,74.8,11467.0,"What is in this image? Describe the scene accurately."
2026-03-04T01:31:46.205217,15,llava:latest,48727,0.0,13.8,150,5617,687,68.5,11425.6,"What is in this image? Describe the scene accurately."
2026-03-04T01:32:31.165883,16,llava:latest,44459,4.4,18.3,108,5954,474,70.2,11440.7,"What is in this image? Describe the scene accurately."
2026-03-04T01:33:18.743558,17,llava:latest,47076,0.0,24.5,141,6310,591,73.8,11429.5,"What is in this image? Describe the scene accurately."
2026-03-04T01:34:10.809325,18,llava:latest,51565,0.0,24.1,158,6700,737,67.8,11385.1,"What is in this image? Describe the scene accurately."
2026-03-04T01:34:47.426520,19,llava:latest,36116,0.5,17.0,142,6974,649,64.9,11634.4,"What is in this image? Describe the scene accurately."
2026-03-04T01:35:09.198193,20,llava:latest,21271,0.0,32.4,105,7138,466,59.6,11598.4,"What is in this image? Describe the scene accurately."
2026-03-04T01:35:31.927882,21,llava:latest,22229,0.1,28.8,112,7308,486,58.5,11585.4,"What is in this image? Describe the scene accurately."
